Course_Identification,Title_Long_Description,Course_Description
PSYCB496,Internship in Psychology II,"(Prereq: Psychology Majors only, BPSY 495, and consent of instructor) Provides experience in a professional setting to facilitate integration of academic knowledge with real world.  Required service hours: 150 - 300 (depending on credit hours)."
PSYCB498,Advanced Independent Study,(Prereq: 9 hours of psychology and consent of instructor) Closely supervised project or research experience in psychology. Approved contract required. May be repeated for up to six credits.
PSYCB499,Individual Research,(Prereq: 15 hours of psychology and consent of instructor) Planning and execution of supervised research in psychology. Approved contract required.
PUBHB101,Basic Health,"This course is a basic health course in which students will learn about strategies to improve health. Nutrition, fitness, drugs, and sexuality are some of the topics discussed. Career opportunities within the heath field will be explored."
PUBHB242,Nutrition,"{?HRTM B242} Introductory course on human nutrition. Includes principles of normal nutrition, basics of life cycle nutrition, relationship of nutrients to health and disease, and discussion of current issues.  "
PUBHB300,Transcultural Health,"(Prerequisite: PSYC B101 or SOCY B101 or consent of instructor) This course surveys the cultural and social dimensions of health and illness with emphasis on the development of cultural competence. Different populations are examined for the development of a personal understanding of the traditions and customs of their societies, providing a uniquie perspective on the implications for patiend care. (Satisfies USCB General Education Global Citizenship and Multicultural Understanding requirement)"
PUBHB303,Health & Wellness Innovation: Creative Inquiry,{?NURS B303} (Prerequisite: PUBH B310) The purpose of this course is to introduce and encourage health professional-driven innovation. This course equips students with an empathetic mindset to see healthcare and public health issues from the perspective of the person who is experiencing the challenge. Students will develop new and creative ways to improve health and well-being. 
PUBHB305,"Spirituality, Health, and Health Professions","Exploration of spirituality, its effect on health, and health professionals roles in the spritual care of clients."
PUBHB310,Introduction to Public Health,A broad-based overview of those processes that enable people to assume responsibility for health and wellness and the role of the health promotion professional.
PUBHB315,Health Promotion Across the Lifespan,(Prerequisite: PSYC B209 or PSYC B321) The study of age as a determinant of health and disease outcomes across the lifespan with strategies to promote wellness.
PUBHB320,Chronic Disease and Risk Reduction,"(Prerequisite: BIOL B243 and BIOL B244, or equivalent coursework) The study of those diseases of long duration and slow progression and the means by which their societal burden can be reduced."
PUBHB321,Fundamentals of Occupational Health & Safety,"(Prerequisite:PUBH B310)An?introductory?course?covering?major?issues?in?occupational?health?and?safety,?with?an?emphasis?on?the?identification,?evaluation?and?control?of?physical,?chemical,?biological?and?behavioral?factors?often?present?in?the?workplace?and?pose?a?risk?for?illness,?injury?and?death.??As?people?typically?work?at?least?40?hours?per?week?for?most?of?their?adult?lives,?the?workplace?has?the???potential?to?significantly?impact?human?health?and?wellbeing. "
PUBHB322,Life-Cycle Nutrition,"(Prerequisite: HRTM/PUBH B242) This course examines the essentials of human nutrition and the modification of nutritional needs at different life stages, including pregnancy, lactation, infancy, childhood, adolescence, adulthood, and older adulthood. "
PUBHB323,Introduction to Exercise and Sports Science,(Prerequisite: BIOL B243 and BIOL B244) This course is designed to examine the disciplines in the broad field of exercise science. An overview of the knowledge and skills needed to become a certified personal trainer (CPT) will be provided.
PUBHB325,Sports Nutrition,"{?HRTM B320} (Prerequisite: PUBH/HRTM B242) The study of the association between nutrition and exercise performance. Metabolism of carbohydrates, fats, proteins, vitamins, minerals and water and its effect on athletic training is emphasized. Nutrition assessment of athletes, how to measure body composition, and the use of and controversy over ergogenic aids are explored.  "
